StockCode,mae_naive,mae_mean,mae_hw,beats_naive,improvement,product,class
47566B,9.0,56.05,15.06,False,-67.4,TEA TIME PARTY BUNTING,AY
22624,51.08,18.55,27.33,True,46.5,IVORY KITCHEN SCALES,AY
21930,151.69,73.8,73.8,True,51.3,JUMBO STORAGE BAG SKULLS,AX
72741,91.85,84.0,100.38,False,-9.3,GRAND CHOCOLATECANDLE,AY
22835,96.62,119.93,77.35,True,19.9,HOT WATER BOTTLE I AM SO POORLY,AZ
84991,564.62,251.54,183.0,True,67.6,60 TEATIME FAIRY CAKE CASES,AX
22961,149.31,274.46,142.73,True,4.4,JAM MAKING SET PRINTED,AY
20750,16.38,16.34,16.34,True,0.3,RED RETROSPOT MINI CASES,AX
71459,197.46,190.17,134.41,True,31.9,HANGING JAM JAR T-LIGHT HOLDER,AY
22734,128.54,140.16,160.73,False,-25.0,SET OF 6 RIBBONS VINTAGE CHRISTMAS,AZ
22149,180.46,197.95,192.54,False,-6.7,FELTCRAFT 6 FLOWER FRIENDS,AY
22867,163.15,259.65,163.79,False,-0.4,HAND WARMER BIRD DESIGN,AZ
48111,48.69,62.67,43.19,True,11.3,DOORMAT 3 SMILEY CATS,AZ
22551,55.38,74.81,74.87,False,-35.2,PLASTERS IN TIN SPACEBOY,AY
82600,244.38,188.22,188.22,True,23.0,NO SINGING METAL SIGN,AY
20711,60.62,73.01,73.01,False,-20.5,JUMBO BAG TOYS,AY
21481,67.15,46.98,59.66,True,11.2,FAWN BLUE HOT WATER BOTTLE,AY
22507,41.62,48.13,46.69,False,-12.2,MEMO BOARD RETROSPOT  DESIGN,AZ
37503,0.0,26.55,0.0,False,,TEA TIME CAKE STAND IN GIFT BOX,AZ
22087,48.38,98.32,48.38,False,-0.0,PAPER BUNTING WHITE LACE,AY
21080,70.69,108.27,67.61,True,4.4,SET/20 RED RETROSPOT PAPER NAPKINS,AX
21108,247.23,202.26,202.26,True,18.2,FAIRY CAKE FLANNEL ASSORTED COLOUR,AZ
84755,192.62,220.61,185.04,True,3.9,COLOUR GLASS T-LIGHT HOLDER HANGING,AY
22084,2.15,92.91,2.07,True,3.7,PAPER CHAIN KIT EMPIRE,AZ
