StockCode,model,smoothing_level_alpha,initial_level,sse,aic,n_train_weeks,train_start,train_end,converged,mae_naive,mae_mean,mae_hw,beats_naive,product,ABC,XYZ,class
22355,SimpleExponentialSmoothing,0.1301,181.99,2180455.6,939.8,93,2009-11-30,2011-09-05,True,213.3846153846154,177.25806451612905,174.05208807332218,True,CHARLOTTE BAG SUKI DESIGN,A,X,AX
71477,SimpleExponentialSmoothing,0.2489,184.94,3970225.8,995.5,93,2009-11-30,2011-09-05,True,155.0,145.78577336641854,148.825320758354,True,COLOUR GLASS. STAR T-LIGHT HOLDER,A,Y,AY
22326,SimpleExponentialSmoothing,0.0,139.53,1265963.2,889.2,93,2009-11-30,2011-09-05,True,102.76923076923076,89.33581472291151,89.33581493664377,True,ROUND SNACK BOXES SET OF4 WOODLAND,A,Y,AY
21175,SimpleExponentialSmoothing,0.0,185.99,8793545.1,1069.5,93,2009-11-30,2011-09-05,True,84.92307692307692,106.7733664185277,106.77279376818086,False,GIN + TONIC DIET METAL SIGN,A,Y,AY
84078A,SimpleExponentialSmoothing,0.0,11.49,34413.2,554.0,93,2009-11-30,2011-09-05,True,4.538461538461538,7.341604631927213,7.341604408227337,False,SET/4 WHITE RETRO STORAGE CUBES,A,Z,AZ
22383,SimpleExponentialSmoothing,0.2046,39.48,2015135.5,932.5,93,2009-11-30,2011-09-05,True,52.46153846153846,66.09429280397022,120.483196917377,False,LUNCH BAG SUKI  DESIGN,A,X,AX
84029E,SimpleExponentialSmoothing,0.458,344.15,1700068.1,916.7,93,2009-11-30,2011-09-05,True,133.30769230769232,126.66749379652606,149.71968796277957,False,RED WOOLLY HOTTIE WHITE HEART.,A,Z,AZ
23298,SimpleExponentialSmoothing,0.4069,0.0,801069.5,846.7,93,2009-11-30,2011-09-05,True,71.53846153846153,111.33581472291152,114.60827572171836,False,SPOTTY BUNTING,A,Z,AZ
84997D,SimpleExponentialSmoothing,0.0,99.8,822701.1,849.2,93,2009-11-30,2011-09-05,True,66.92307692307692,66.9387923904053,66.93879061271493,False,PINK 3 PIECE MINI DOTS CUTLERY SET,A,Y,AY
21915,SimpleExponentialSmoothing,0.109,61.19,13482108.3,1109.2,93,2009-11-30,2011-09-05,True,526.9230769230769,510.8271298593879,498.2468691967661,True,RED  HARMONICA IN BOX,A,Y,AY
20728,SimpleExponentialSmoothing,0.0,236.44,6925177.0,1047.3,93,2009-11-30,2011-09-05,True,69.15384615384616,68.79404466501242,68.79364550218132,True,LUNCH BAG CARS BLUE,A,Y,AY
23203,SimpleExponentialSmoothing,0.7206,0.0,2544894.7,954.2,93,2009-11-30,2011-09-05,True,264.9230769230769,569.2332506203473,265.00317621051704,False,JUMBO BAG VINTAGE DOILY,A,Z,AZ
82482,SimpleExponentialSmoothing,0.4123,241.4,1132337.4,878.9,93,2009-11-30,2011-09-05,True,92.0,65.78577336641852,74.22411812315498,True,WOODEN PICTURE FRAME WHITE FINISH,A,X,AX
20713,SimpleExponentialSmoothing,0.0,183.47,2784813.2,962.6,93,2009-11-30,2011-09-05,True,173.76923076923077,177.12572373862696,177.1257586400054,False,JUMBO BAG OWLS,A,Y,AY
22083,SimpleExponentialSmoothing,0.0674,195.68,1334424.3,894.1,93,2009-11-30,2011-09-05,True,45.69230769230769,42.9454094292804,36.01773381730931,True,PAPER CHAIN KIT RETROSPOT,A,Y,AY
85066,SimpleExponentialSmoothing,0.0,26.13,63664.5,611.2,93,2009-11-30,2011-09-05,True,29.692307692307693,29.10421836228288,29.104219040125216,True,CREAM SWEETHEART MINI CHEST,A,Y,AY
84997B,SimpleExponentialSmoothing,0.0364,100.08,587084.0,817.8,93,2009-11-30,2011-09-05,True,85.23076923076923,50.33995037220844,54.04897505067031,True,RED 3 PIECE MINI DOTS CUTLERY SET,A,Y,AY
20726,SimpleExponentialSmoothing,0.0,216.08,6706946.6,1044.3,93,2009-11-30,2011-09-05,True,49.23076923076923,77.5252274607113,77.52528239325801,False,LUNCH BAG WOODLAND,A,Y,AY
82486,SimpleExponentialSmoothing,0.0712,55.3,66905.6,615.8,93,2009-11-30,2011-09-05,True,18.07692307692308,17.599669148056247,19.404853335586708,False,WOOD S/3 CABINET ANT WHITE FINISH,A,X,AX
22960,SimpleExponentialSmoothing,0.2024,0.0,610809.7,821.5,93,2009-11-30,2011-09-05,True,97.0,135.38626964433416,81.00089192581783,True,JAM MAKING SET WITH JARS,A,Y,AY
22699,SimpleExponentialSmoothing,0.1616,0.05,1219095.8,885.7,93,2009-11-30,2011-09-05,True,96.23076923076924,74.21753515301904,70.34719330587191,True,ROSES REGENCY TEACUP AND SAUCER,A,Y,AY
21166,SimpleExponentialSmoothing,0.2273,59.02,3517870.9,984.3,93,2009-11-30,2011-09-05,True,463.0769230769231,227.6650124069479,215.15341615769992,True,COOK WITH WINE METAL SIGN,A,Y,AY
23284,SimpleExponentialSmoothing,0.3266,0.0,464620.4,796.0,93,2009-11-30,2011-09-05,True,246.0,228.1612903225807,236.74372868946423,True,DOORMAT KEEP CALM AND COME IN,A,Z,AZ
22720,SimpleExponentialSmoothing,0.4075,0.0,483788.0,799.8,93,2009-11-30,2011-09-05,True,90.3076923076923,133.35897435897436,90.44758155402144,False,SET OF 3 CAKE TINS PANTRY DESIGN,A,Z,AZ
